unit_number,time_cycles,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
3,1,0.0018,-0.0001,100.0,518.67,642.19,1585.49,1401.55,14.62,21.61,554.67,2387.98,9046.11,1.3,47.29,521.92,2388.0,8136.14,8.4111,0.03,391,2388,100.0,38.91,23.4896
3,2,0.0003,-0.0002,100.0,518.67,642.0,1586.6,1393.99,14.62,21.6,553.73,2388.0,9057.38,1.3,47.3,522.48,2388.02,8139.91,8.3594,0.03,391,2388,100.0,39.0,23.2964
3,3,-0.0002,0.0001,100.0,518.67,642.1,1582.43,1394.89,14.62,21.61,555.22,2388.06,9056.81,1.3,47.45,522.15,2388.06,8139.25,8.4182,0.03,391,2388,100.0,39.02,23.4047
3,4,-0.0034,-0.0001,100.0,518.67,642.36,1582.8,1396.55,14.62,21.61,554.99,2388.05,9059.65,1.3,47.27,522.02,2388.0,8138.7,8.344,0.03,392,2388,100.0,39.05,23.3914
3,5,0.0006,0.0003,100.0,518.67,642.73,1589.39,1397.12,14.62,21.6,554.97,2388.02,9055.29,1.3,47.16,522.46,2388.02,8132.29,8.3978,0.03,392,2388,100.0,39.08,23.5019
3,6,0.0016,-0.0002,100.0,518.67,642.23,1572.14,1395.45,14.62,21.61,554.74,2388.01,9053.54,1.3,47.03,522.53,2388.04,8132.78,8.4483,0.03,391,2388,100.0,39.1,23.3827
3,7,0.0033,-0.0002,100.0,518.67,642.13,1578.99,1398.35,14.62,21.61,555.11,2388.06,9063.66,1.3,47.37,522.84,2388.02,8142.66,8.4093,0.03,391,2388,100.0,38.99,23.3774
3,8,0.0043,0.0005,100.0,518.67,642.48,1584.67,1390.74,14.62,21.61,554.36,2388.04,9048.72,1.3,47.32,522.31,2388.07,8134.5,8.3606,0.03,393,2388,100.0,38.91,23.4558
3,9,0.0014,0.0002,100.0,518.67,642.08,1583.45,1398.01,14.62,21.61,554.07,2388.03,9052.38,1.3,47.08,522.44,2387.99,8136.61,8.4011,0.03,392,2388,100.0,39.02,23.4995
3,10,-0.0009,0.0002,100.0,518.67,642.09,1593.27,1399.37,14.62,21.61,554.6,2388.01,9055.99,1.3,47.14,522.41,2388.0,8136.26,8.3841,0.03,392,2388,100.0,38.99,23.4497
3,11,-0.0014,-0.0003,100.0,518.67,642.2,1579.24,1399.01,14.62,21.61,553.86,2388.03,9050.92,1.3,47.18,522.73,2388.05,8138.4,8.3922,0.03,391,2388,100.0,39.0,23.4544
3,12,-0.001,-0.0001,100.0,518.67,642.33,1579.57,1402.45,14.62,21.61,554.01,2388.0,9054.75,1.3,47.23,522.02,2387.98,8136.28,8.4118,0.03,391,2388,100.0,38.99,23.3745
3,13,0.0013,0.0002,100.0,518.67,641.96,1576.95,1396.48,14.62,21.61,554.87,2388.05,9058.7,1.3,47.2,522.17,2388.0,8137.56,8.4251,0.03,391,2388,100.0,39.06,23.4145
3,14,0.0007,0.0004,100.0,518.67,642.1,1585.06,1400.81,14.62,21.61,555.45,2388.06,9060.37,1.3,47.34,522.34,2388.04,8141.87,8.413,0.03,391,2388,100.0,39.06,23.4663
3,15,0.0011,-0.0002,100.0,518.67,642.03,1580.37,1405.0,14.62,21.61,554.51,2388.04,9048.08,1.3,47.21,521.84,2388.03,8134.34,8.4044,0.03,393,2388,100.0,39.02,23.4576
3,16,0.0008,0.0003,100.0,518.67,642.13,1585.88,1402.51,14.62,21.61,554.21,2388.02,9049.13,1.3,47.3,522.48,2388.01,8139.4,8.3788,0.03,390,2388,100.0,39.01,23.3847
3,17,0.0025,-0.0002,100.0,518.67,642.03,1583.74,1391.35,14.62,21.61,554.69,2388.01,9057.02,1.3,47.1,522.3,2388.02,8142.66,8.3999,0.03,395,2388,100.0,38.92,23.3649
3,18,-0.0008,-0.0002,100.0,518.67,641.97,1581.23,1391.74,14.62,21.6,554.43,2388.05,9057.03,1.3,47.39,522.56,2388.0,8132.13,8.3955,0.03,391,2388,100.0,38.97,23.3724
3,19,-0.0015,0.0004,100.0,518.67,642.09,1577.01,1398.31,14.62,21.61,555.31,2388.02,9052.57,1.3,46.98,522.72,2387.99,8142.03,8.427,0.03,390,2388,100.0,38.92,23.4644
3,20,0.0001,0.0006,100.0,518.67,641.86,1585.84,1402.35,14.62,21.61,554.94,2388.04,9052.54,1.3,47.24,522.43,2387.97,8137.74,8.4123,0.03,392,2388,100.0,38.96,23.3318
3,21,-0.0041,0.0002,100.0,518.67,642.3,1586.0,1391.72,14.62,21.61,554.76,2388.05,9061.34,1.3,47.36,522.29,2387.99,8143.11,8.3754,0.03,391,2388,100.0,38.91,23.2651
3,22,-0.0027,-0.0004,100.0,518.67,642.0,1581.93,1399.98,14.62,21.6,554.23,2388.04,9050.05,1.3,47.23,521.9,2388.05,8134.2,8.414,0.03,391,2388,100.0,38.93,23.3709
3,23,-0.0016,-0.0003,100.0,518.67,642.37,1589.42,1406.99,14.62,21.61,554.9,2387.97,9062.75,1.3,47.43,522.52,2388.04,8138.01,8.4177,0.03,392,2388,100.0,39.02,23.3656
3,24,-0.0007,0.0005,100.0,518.67,641.78,1586.29,1396.27,14.62,21.61,553.88,2388.0,9059.04,1.3,47.31,522.48,2388.01,8132.58,8.3963,0.03,392,2388,100.0,39.03,23.4181
3,25,0.0009,0.0003,100.0,518.67,642.42,1581.68,1399.3,14.62,21.61,554.15,2387.96,9049.66,1.3,47.32,522.02,2388.03,8142.49,8.3976,0.03,391,2388,100.0,38.87,23.4189
3,26,-0.0007,-0.0004,100.0,518.67,642.28,1590.6,1396.54,14.62,21.61,554.11,2388.0,9058.1,1.3,47.21,521.93,2388.04,8137.46,8.4095,0.03,393,2388,100.0,38.85,23.3442
3,27,0.0014,0.0003,100.0,518.67,642.17,1578.47,1401.69,14.62,21.61,553.83,2388.04,9057.1,1.3,47.27,522.19,2388.01,8131.59,8.379,0.03,392,2388,100.0,39.14,23.4504
3,28,-0.0021,-0.0003,100.0,518.67,641.91,1576.92,1394.62,14.62,21.61,554.71,2388.06,9056.07,1.3,47.39,522.23,2388.04,8137.47,8.3836,0.03,390,2388,100.0,38.89,23.3448
3,29,-0.0001,0.0006,100.0,518.67,642.46,1583.83,1392.09,14.62,21.61,555.31,2388.04,9061.93,1.3,47.16,521.55,2388.07,8142.99,8.4107,0.03,392,2388,100.0,38.95,23.5129
